brand, product_name, shipping
AMD,AMD RYZEN 5 3600 6-Core 3.6 GHz (4.2 GHz Max Boost) Socket AM4 65W 100-100000031BOX Desktop Processor,Free Shipping
AMD,AMD RYZEN 9 3900X 12-Core 3.8 GHz (4.6 GHz Max Boost) Socket AM4 105W 100-100000023BOX Desktop Processor,Free Shipping
Intel,Intel Core i7-10700K Comet Lake 8-Core 3.8 GHz LGA 1200 125W Desktop Processor w/ Intel UHD Graphics 630,Free Shipping
Intel,Intel Core i5-10600K Comet Lake 6-Core 4.1 GHz LGA 1200 125W BX8070110600K Desktop Processor Intel UHD Graphics 630 and CORSAIR iCUE H115i RGB PRO XT 280mm Radiator Dual 140mm PWM Fans Software Control Liquid CPU Cooler CW-9060044-WW,
Intel,Intel Core i9-10900K 10-Core 3.7 GHz LGA 1200 125W BX8070110900K Desktop Processor Intel UHD Graphics 630 and CORSAIR iCUE H115i RGB PRO XT 280mm Radiator Dual 140mm PWM Fans Software Control Liquid CPU Cooler CW-9060044-WW,
Intel,Intel Core i5-10600K Comet Lake 6-Core 4.1 GHz LGA 1200 125W BX8070110600K Desktop Processor Intel UHD Graphics 630 and CORSAIR Hydro Series H115i RGB PLATINUM 280mm 2 x ML PRO 140mm RGB PWM Fans RGB Lighting Fan Control w/ Software Liquid,
Intel,Intel Core i9-10900 Comet Lake 10-Core 2.8 GHz LGA 1200 65W BX8070110900 Desktop Processor Intel UHD Graphics 630,Free Shipping
Intel,Intel Core i9-10850K Comet Lake 10-Core 3.6 GHz LGA 1200 125W  Desktop Processor Intel UHD Graphics 630 - BX8070110850K,Free Shipping
Intel,Intel Core i5-10600K Comet Lake 6-Core 4.1 GHz LGA 1200 125W BX8070110600K Desktop Processor Intel UHD Graphics 630,Free Shipping
AMD,AMD Ryzen 7 2700X 8-Core 3.7 GHz (4.3 GHz Max Boost) Socket AM4 105W YD270XBGAFBOX Desktop Processor,Free Shipping
Intel,Intel Core i9-10900K 10-Core 3.7 GHz LGA 1200 125W BX8070110900K Desktop Processor Intel UHD Graphics 630,Free Shipping
ASUS,ASUS ROG STRIX B450-F GAMING AM4 AMD B450 SATA 6Gb/s ATX AMD Motherboard,Free Shipping
ASUS,ASUS AM4 TUF Gaming X570-Plus (Wi-Fi) ATX Motherboard with PCIe 4.0| Dual M.2| 12+2 with Dr. MOS Power Stage| HDMI| DP| SATA 6Gb/s| USB 3.2 Gen 2 and Aura Sync RGB Lighting,Free Shipping
AMD,AMD A10-9700 Bristol Ridge Quad-Core 3.5 GHz Socket AM4 65W AD9700AGABBOX Desktop Processor Radeon R7,Free Shipping
Intel,Intel Core i9-10900F 10-Core 2.8 GHz LGA 1200 65W BX8070110900F Desktop Processor,Free Shipping
Intel,Intel Core i9-10900X Cascade Lake 10-Core 3.7 GHz LGA 2066 165W BX8069510900X Desktop Processor,Free Shipping
AMD,AMD RYZEN 7 3700X 8-Core 3.6 GHz (4.4 GHz Max Boost) Socket AM4 65W 100-100000071BOX Desktop Processor,Free Shipping
Intel,Intel Core i7-9700F Coffee Lake 8-Core 3.0 GHz (4.7 GHz Turbo) LGA 1151 (300 Series) 65W BX80684i79700F Desktop Processor Without Graphics,Free Shipping
Intel,Intel Core i5-9600KF Coffee Lake 6-Core 3.7 GHz (4.6 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I59600KF Desktop Processor Without Graphics,Free Shipping
Intel,Intel Core i9-9900 Coffee Lake 8-Core| 16-Thread| 3.1 GHz (5.0 GHz Turbo) LGA 1151 (300 Series) 65W BX80684I99900 Desktop Processor Intel UHD Graphics 630,Free Shipping
Intel,Intel Core i7-10700 Comet Lake 8-Core 2.9 GHz LGA 1200 65W BX8070110700 Desktop Processor Intel UHD Graphics 630,Free Shipping
AMD,AMD Desktop Ryzen 5 1600 65W AM4 Processor with Wraith Stealth Cooler,Free Shipping
AMD,AMD Ryzen 9 3950X 16-Core 3.5 GHz Socket AM4 105W 100-100000051WOF Desktop Processor,Free Shipping
Intel,Intel Pentium G4560 Kaby Lake Dual-Core 3.5 GHz LGA 1151 54W BX80677G4560 Desktop Processor Intel HD Graphics 610,Free Shipping
Intel,Intel Core i7-4790K Devil's Canyon Quad-Core 4.0 GHz LGA 1150 88W BX80646I74790K Desktop Processor Intel HD Graphics 4600,Free Shipping
AMD,AMD RYZEN 7 3800X 8-Core 3.9 GHz (4.5 GHz Max Boost) Socket AM4 105W 100-100000025BOX Desktop Processor,Free Shipping
AMD,AMD RYZEN 3 3200G 4-Core 3.6 GHz (4.0 GHz Max Boost) Socket AM4 65W YD3200C5FHBOX Desktop Processor,Free Shipping
Intel,Intel Core i7-9700 Coffee Lake 8-Core 3.0 GHz (4.7 GHz Turbo) LGA 1151 (300 Series) 65W BX80684I79700 Desktop Processor Intel UHD Graphics 630,Free Shipping
Intel,Intel Core i7-10700KA Comet Lake 8-Core 3.8 GHz LGA1200 125W Desktop Processor w/ Intel UHD Graphic 630 - Avengers Special Edition (Game Not Included) - BX8070110700KA,Free Shipping
Intel,Intel Core i7-8700K Coffee Lake 6-Core 3.7 GHz (4.7 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I78700K Desktop Processor Intel UHD Graphics 630,Free Shipping
Intel,Intel Core i3-9100F Coffee Lake 4-Core 3.6 GHz (4.2 GHz Turbo) LGA 1151 (300 Series) 65W BX80684i39100F Desktop Processor Without Graphics,Free Shipping
Intel,Intel Celeron G3930 Kaby Lake Dual-Core 2.9 GHz LGA 1151 51W BX80677G3930 Desktop Processor Intel HD Graphics 610,Free Shipping
Intel,Intel Core i3-10100F Comet Lake Quad-Core 3.6 GHz LGA 1200 65W BX8070110100F Desktop Processor,Free Shipping
Intel,Intel Core i9-9900KF Coffee Lake 8-Core| 16-Thread| 3.6 GHz (5.0 GHz Turbo) LGA 1151 (300 Series) 95W BX80684I99900KF Desktop Processor Without Graphics,Free Shipping
AMD,AMD RYZEN 5 3600X 6-Core 3.8 GHz (4.4 GHz Max Boost) Socket AM4 95W 100-100000022BOX Desktop Processor,Free Shipping
Intel,Intel Core i7-10700F Comet Lake 8-Core 2.9 GHz LGA 1200 65W BX8070110700F Desktop Processor,Free Shipping
